"probe_id","gene_symbol","gene_name","gene_id"
"ILMN_1651199","","",""
"ILMN_1651209","SLC35E2","solute carrier family 35 member E2","9906"
"ILMN_1651221","","",""
"ILMN_1651228","RPS28","ribosomal protein S28","6234"
"ILMN_1651229","IPO13","importin 13","9670"
"ILMN_1651230","","",""
"ILMN_1651232","FAM86FP","family with sequence similarity 86, member A pseudogene","653113"
"ILMN_1651237","CDT1","chromatin licensing and DNA replication factor 1","81620"
"ILMN_1651249","","",""
"ILMN_1651253","","",""
"ILMN_1651254","LPP","LIM domain containing preferred translocation partner in lipoma","4026"
"ILMN_1651259","","",""
"ILMN_1651262","HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B","3182"
"ILMN_1651268","BORCS5","BLOC-1 related complex subunit 5","118426"
"ILMN_1651278","SNIP1","Smad nuclear interacting protein 1","79753"
"ILMN_1651279","","",""
"ILMN_1651281","","",""
"ILMN_1651282","COL17A1","collagen type XVII alpha 1 chain","1308"
"ILMN_1651285","BCL6B","B-cell CLL/lymphoma 6B","255877"
"ILMN_1651288","","",""
"ILMN_1651292","","",""
"ILMN_1651296","","",""
"ILMN_1651303","ATP13A4","ATPase 13A4","84239"
"ILMN_1651309","DIAPH2","diaphanous related formin 2","1730"
"ILMN_1651310","","",""
"ILMN_1651315","HMG20B","high mobility group 20B","10362"
"ILMN_1651325","","",""
"ILMN_1651328","","",""
"ILMN_1651329","","",""
"ILMN_1651336","MLYCD","malonyl-CoA decarboxylase","23417"
"ILMN_1651339","UHRF1BP1L","UHRF1 binding protein 1 like","23074"
"ILMN_1651346","TICAM2","toll like receptor adaptor molecule 2","353376"
"ILMN_1651347","SERTAD2","SERTA domain containing 2","9792"
"ILMN_1651354","SPP1","secreted phosphoprotein 1","6696"
"ILMN_1651358","HBE1","hemoglobin subunit epsilon 1","3046"
"ILMN_1651364","PCBD2","pterin-4 alpha-carbinolamine dehydratase 2","84105"
"ILMN_1651365","ZBED2","zinc finger BED-type containing 2","79413"
"ILMN_1651369","","",""
"ILMN_1651373","RHD","Rh blood group D antigen","6007"
"ILMN_1651380","","",""
"ILMN_1651385","MFN2","mitofusin 2","9927"
"ILMN_1651388","","",""
"ILMN_1651395","","",""
"ILMN_1651396","","",""
"ILMN_1651403","","",""
"ILMN_1651404","LILRA6","leukocyte immunoglobulin like receptor A6","79168"
"ILMN_1651405","BRD9","bromodomain containing 9","65980"
"ILMN_1651408","","",""
"ILMN_1651415","DERL3","derlin 3","91319"
"ILMN_1651429","SELM","selenoprotein M","140606"
"ILMN_1651435","","",""
"ILMN_1651438","ZFPM1","zinc finger protein, FOG family member 1","161882"
"ILMN_1651447","","",""
"ILMN_1651453","","",""
"ILMN_1651456","UTY","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked","7404"
"ILMN_1651457","GPR32","G protein-coupled receptor 32","2854"
"ILMN_1651464","KDM2B","lysine demethylase 2B","84678"
"ILMN_1651470","MMP17","matrix metallopeptidase 17","4326"
"ILMN_1651477","","",""
"ILMN_1651488","","",""
"ILMN_1651492","WNT2B","Wnt family member 2B","7482"
"ILMN_1651495","","",""
"ILMN_1651496","HIST1H2BD","histone cluster 1, H2bd","3017"
"ILMN_1651498","GADD45G","growth arrest and DNA damage inducible gamma","10912"
"ILMN_1651504","FAM193A","family with sequence similarity 193 member A","8603"
"ILMN_1651506","TGS1","trimethylguanosine synthase 1","96764"
"ILMN_1651507","","",""
"ILMN_1651508","","",""
"ILMN_1651513","SKIV2L2","Ski2 like RNA helicase 2","23517"
"ILMN_1651520","","",""
"ILMN_1651532","","",""
"ILMN_1651535","TMEM217","transmembrane protein 217","221468"
"ILMN_1651538","NUMBL","NUMB like, endocytic adaptor protein","9253"
"ILMN_1651543","","",""
"ILMN_1651544","HDAC8","histone deacetylase 8","55869"
"ILMN_1651557","KDELC2","KDEL motif containing 2","143888"
"ILMN_1651563","","",""
"ILMN_1651568","MUC13","mucin 13, cell surface associated","56667"
"ILMN_1651569","XRCC2","X-ray repair cross complementing 2","7516"
"ILMN_1651574","AQP3","aquaporin 3 (Gill blood group)","360"
"ILMN_1651576","","",""
"ILMN_1651582","","",""
"ILMN_1651584","","",""
"ILMN_1651604","MARK4","microtubule affinity regulating kinase 4","57787"
"ILMN_1651608","","",""
"ILMN_1651610","","",""
"ILMN_1651624","C6orf201","chromosome 6 open reading frame 201","404220"
"ILMN_1651636","CYP2A13","cytochrome P450 family 2 subfamily A member 13","1553"
"ILMN_1651641","","",""
"ILMN_1651642","GPC2","glypican 2","221914"
"ILMN_1651652","RTN3","reticulon 3","10313"
"ILMN_1651660","TMEM191B","transmembrane protein 191B","728229"
"ILMN_1651662","","",""
"ILMN_1651672","","",""
"ILMN_1651684","KIAA0586","KIAA0586","9786"
"ILMN_1651685","FAM135B","family with sequence similarity 135 member B","51059"
"ILMN_1651690","PGBD4","piggyBac transposable element derived 4","161779"
"ILMN_1651692","STK10","serine/threonine kinase 10","6793"
"ILMN_1651693","GSG1","germ cell associated 1","83445"
"ILMN_1651699","EPS8","epidermal growth factor receptor pathway substrate 8","2059"
